epoch,loss,mean_absolute_error
0,1.2057958841323853,7.85761876613833e-05
1,1.2044248580932617,7.57752641220577e-05
2,1.2033649682998657,7.353191904257983e-05
3,1.202615737915039,7.182065019151196e-05
4,1.2021584510803223,7.057326729409397e-05
