epoch,loss,mean_absolute_error
0,1.2048213481903076,7.357767754001543e-05
1,1.2037780284881592,7.163213012972847e-05
2,1.2029730081558228,7.0229172706604e-05
3,1.2024004459381104,6.92776229698211e-05
4,1.2020504474639893,6.866185867693275e-05
